444982,23788,37233,35760,36470,264092,29150,25912,79204,37380,603503,48221,30963,17040,26247,262819
23788,2802,2824,5173,2981,26969,2778,3262,6589,4801,50614,5773,2435,2520,2069,25947
37233,2824,5418,4087,3819,21576,3805,3160,8697,4163,62935,6498,3829,2029,4066,22396
35760,5173,4087,12724,3321,26986,3197,4195,13392,8190,150230,13107,5342,5002,4221,70491
36470,2981,3819,3321,7110,42619,6976,5133,9821,6161,69171,7075,6757,4153,5019,40443
264092,26969,21576,26986,42619,600608,39387,46764,48964,47226,360968,47762,30525,42134,25755,337508
29150,2778,3805,3197,6976,39387,7624,5355,8431,5015,59869,6105,5028,3814,5808,33514
25912,3262,3160,4195,5133,46764,5355,6334,9397,6879,96862,8995,6762,6488,5367,75547
79204,6589,8697,13392,9821,48964,8431,9397,20724,11853,157948,15911,10485,7527,9095,86426
37380,4801,4163,8190,6161,47226,5015,6879,11853,10118,89938,11555,6359,6594,5464,58991
603503,50614,62935,150230,69171,360968,59869,96862,157948,89938,1614264,151185,95930,68782,80566,1031959
48221,5773,6498,13107,7075,47762,6105,8995,15911,11555,151185,15514,8413,7361,7917,91448
30963,2435,3829,5342,6757,30525,5028,6762,10485,6359,95930,8413,5176,3408,4373,42627
17040,2520,2029,5002,4153,42134,3814,6488,7527,6594,68782,7361,3408,4752,3117,39285
26247,2069,4066,4221,5019,25755,5808,5367,9095,5464,80566,7917,4373,3117,5796,33984
262819,25947,22396,70491,40443,337508,33514,75547,86426,58991,1031959,91448,42627,39285,33984,593236
